date;amount
"1991-05-10";"337.99"
"1991-05-13";"338.40"
"1991-05-14";"338.67"
"1991-05-15";"338.79"
"1991-05-16";"339.45"
"1991-05-17";"341.03"
"1991-05-20";"342.42"
"1991-05-22";"342.89"
"1991-05-23";"343.79"
"1991-05-24";"342.40"
"1991-05-27";"342.37"
"1991-05-28";"341.63"
"1991-05-29";"341.65"
"1991-05-31";"341.95"
"1991-06-03";"342.52"
"1991-06-04";"342.78"
"1991-06-05";"342.89"
"1991-06-06";"343.19"
"1991-06-07";"343.24"
"1991-06-10";"343.98"
"1991-06-11";"344.28"
"1991-06-12";"344.48"
"1991-06-13";"344.79"
"1991-06-14";"345.04"
"1991-06-17";"345.88"
"1991-06-18";"341.78"
"1991-06-19";"344.29"
"1991-06-20";"346.20"
"1991-06-21";"344.35"
"1991-06-24";"345.44"
"1991-06-25";"347.55"
"1991-06-26";"349.06"
"1991-06-27";"348.30"
"1991-06-28";"347.76"
"1991-07-01";"348.04"
"1991-07-02";"348.16"
"1991-07-03";"349.87"
"1991-07-04";"351.02"
"1991-07-05";"353.51"
"1991-07-08";"351.11"
"1991-07-09";"349.66"
"1991-07-10";"350.01"
"1991-07-11";"350.02"
"1991-07-12";"349.19"
"1991-07-15";"348.26"
"1991-07-16";"348.06"
"1991-07-17";"347.73"
"1991-07-18";"346.82"
"1991-07-19";"346.57"
"1991-07-22";"346.93"
"1991-07-23";"347.07"
"1991-07-24";"347.55"
"1991-07-25";"348.05"
"1991-07-26";"348.02"
"1991-07-29";"348.26"
"1991-07-30";"348.38"
"1991-07-31";"348.23"
"1991-08-01";"348.31"
"1991-08-02";"348.38"
"1991-08-05";"349.09"
"1991-08-06";"349.24"
"1991-08-07";"349.34"
"1991-08-08";"349.46"
"1991-08-09";"349.58"
"1991-08-12";"350.11"
"1991-08-13";"350.33"
"1991-08-14";"350.53"
"1991-08-16";"350.82"
"1991-08-19";"351.50"
"1991-08-20";"351.64"
"1991-08-21";"352.03"
"1991-08-22";"351.97"
"1991-08-23";"351.94"
"1991-08-26";"352.58"
"1991-08-27";"352.73"
"1991-08-28";"352.91"
"1991-08-29";"353.04"
"1991-08-30";"353.16"
"1991-09-02";"353.70"
"1991-09-03";"353.92"
"1991-09-04";"354.20"
"1991-09-05";"355.19"
"1991-09-06";"354.73"
"1991-09-09";"354.95"
"1991-09-10";"355.06"
"1991-09-12";"355.33"
"1991-09-13";"355.22"
"1991-09-16";"355.71"
"1991-09-17";"355.84"
"1991-09-20";"356.27"
"1991-09-23";"356.63"
"1991-09-24";"356.66"
"1991-09-25";"356.80"
"1991-09-26";"356.87"
"1991-09-27";"356.68"
"1991-09-30";"357.15"
"1991-10-01";"357.29"
"1991-10-02";"357.50"
"1991-10-03";"357.87"
"1991-10-04";"358.57"
"1991-10-07";"358.80"
"1991-10-08";"358.35"
"1991-10-09";"358.33"
"1991-10-10";"358.37"
"1991-10-11";"358.33"
"1991-10-14";"358.72"
"1991-10-15";"358.91"
"1991-10-16";"358.97"
"1991-10-17";"359.09"
"1991-10-18";"359.11"
"1991-10-21";"359.57"
"1991-10-22";"359.65"
"1991-10-23";"359.70"
"1991-10-24";"359.86"
"1991-10-25";"359.82"
"1991-10-28";"360.27"
"1991-10-29";"360.45"
"1991-10-30";"360.40"
"1991-10-31";"360.46"
"1991-11-04";"360.71"
"1991-11-05";"361.14"
"1991-11-06";"361.29"
"1991-11-07";"361.30"
"1991-11-08";"361.20"
"1991-11-11";"362.19"
"1991-11-12";"362.43"
"1991-11-13";"362.95"
"1991-11-14";"363.20"
"1991-11-15";"363.35"
"1991-11-18";"364.50"
"1991-11-19";"364.81"
"1991-11-20";"365.16"
"1991-11-21";"365.50"
"1991-11-22";"365.79"
"1991-11-25";"366.75"
"1991-11-26";"367.33"
"1991-11-27";"367.99"
"1991-11-28";"369.21"
"1991-11-29";"368.33"
"1991-12-02";"368.89"
"1991-12-03";"369.47"
"1991-12-04";"369.75"
"1991-12-05";"370.17"
"1991-12-06";"370.26"
"1991-12-09";"371.41"
"1991-12-10";"371.48"
"1991-12-11";"371.65"
"1991-12-12";"371.73"
"1991-12-13";"371.68"
"1991-12-16";"372.07"
"1991-12-17";"372.11"
"1991-12-18";"372.22"
"1991-12-19";"372.85"
"1991-12-20";"373.30"
"1991-12-23";"372.97"
"1991-12-24";"373.12"
"1991-12-26";"374.05"
"1991-12-27";"374.50"
"1991-12-30";"374.87"
"1992-01-02";"374.51"
"1992-01-03";"374.10"
"1992-01-06";"374.14"
"1992-01-07";"374.07"
"1992-01-08";"374.04"
"1992-01-09";"374.06"
"1992-01-10";"374.09"
"1992-01-13";"374.49"
"1992-01-14";"374.60"
"1992-01-15";"374.73"
"1992-01-16";"374.85"
"1992-01-17";"374.93"
"1992-01-20";"375.42"
"1992-01-21";"375.51"
"1992-01-22";"375.64"
"1992-01-23";"375.76"
"1992-01-24";"358.07"
"1992-01-27";"359.73"
"1992-01-28";"356.18"
"1992-01-29";"356.29"
"1992-01-30";"355.51"
"1992-01-31";"353.80"
"1992-02-03";"350.46"
"1992-02-04";"347.26"
"1992-02-05";"348.33"
"1992-02-06";"349.93"
"1992-02-07";"350.39"
"1992-02-10";"349.82"
"1992-02-11";"347.65"
"1992-02-12";"347.14"
"1992-02-13";"347.30"
"1992-02-14";"347.51"
"1992-02-17";"347.57"
"1992-02-18";"346.70"
"1992-02-19";"346.19"
"1992-02-20";"346.81"
"1992-02-21";"346.13"
"1992-02-24";"346.08"
"1992-02-25";"347.50"
"1992-02-26";"348.66"
"1992-02-27";"348.54"
"1992-02-28";"347.30"
"1992-03-02";"346.69"
"1992-03-03";"346.51"
"1992-03-04";"345.96"
"1992-03-05";"344.81"
"1992-03-06";"344.41"
"1992-03-09";"344.48"
"1992-03-10";"345.03"
"1992-03-11";"345.84"
"1992-03-12";"347.70"
"1992-03-13";"348.40"
"1992-03-16";"347.40"
"1992-03-17";"348.23"
"1992-03-18";"347.81"
"1992-03-19";"349.27"
"1992-03-20";"353.84"
"1992-03-23";"352.03"
"1992-03-24";"350.56"
"1992-03-25";"350.76"
"1992-03-26";"351.70"
"1992-03-27";"351.94"
"1992-03-30";"350.67"
"1992-03-31";"349.53"
"1992-04-01";"348.02"
"1992-04-02";"347.19"
"1992-04-03";"347.50"
"1992-04-06";"347.24"
"1992-04-07";"347.16"
"1992-04-08";"346.76"
"1992-04-09";"346.26"
"1992-04-10";"346.21"
"1992-04-13";"345.30"
"1992-04-14";"344.06"
"1992-04-15";"343.93"
"1992-04-16";"344.62"
"1992-04-20";"345.43"
"1992-04-21";"346.06"
"1992-04-23";"346.48"
"1992-04-24";"346.69"
"1992-04-27";"346.91"
"1992-04-28";"346.56"
"1992-04-29";"346.85"
"1992-04-30";"346.78"
"1992-05-04";"346.69"
"1992-05-05";"346.57"
"1992-05-06";"346.53"
"1992-05-07";"346.31"
"1992-05-08";"345.60"
"1992-05-11";"345.40"
"1992-05-12";"346.24"
"1992-05-13";"346.02"
"1992-05-14";"345.63"
"1992-05-15";"345.61"
"1992-05-18";"346.28"
"1992-05-19";"346.74"
"1992-05-20";"347.05"
"1992-05-22";"346.85"
"1992-05-25";"346.87"
"1992-05-26";"347.19"
"1992-05-27";"347.70"
"1992-05-28";"347.73"
"1992-05-29";"347.69"
"1992-06-01";"351.99"
"1992-06-02";"352.61"
"1992-06-03";"350.56"
"1992-06-04";"351.64"
"1992-06-05";"351.79"
"1992-06-08";"352.95"
"1992-06-09";"353.22"
"1992-06-10";"353.41"
"1992-06-11";"353.89"
"1992-06-12";"353.83"
"1992-06-15";"353.74"
"1992-06-16";"354.97"
"1992-06-17";"355.76"
"1992-06-19";"355.88"
"1992-06-22";"357.11"
"1992-06-23";"357.96"
"1992-06-24";"359.71"
"1992-06-25";"359.97"
"1992-06-26";"359.07"
"1992-06-30";"359.88"
"1992-07-01";"358.71"
"1992-07-02";"356.91"
"1992-07-03";"356.15"
"1992-07-06";"356.07"
"1992-07-07";"357.39"
"1992-07-08";"358.62"
"1992-07-09";"359.68"
"1992-07-10";"360.87"
"1992-07-13";"360.53"
"1992-07-14";"360.00"
"1992-07-15";"359.74"
"1992-07-16";"360.43"
"1992-07-17";"361.18"
"1992-07-20";"361.84"
"1992-07-21";"361.89"
"1992-07-22";"362.56"
"1992-07-23";"363.66"
"1992-07-24";"365.51"
"1992-07-27";"366.80"
"1992-07-28";"366.73"
"1992-07-29";"365.14"
"1992-07-30";"364.12"
"1992-07-31";"364.17"
"1992-08-03";"364.67"
"1992-08-04";"364.98"
"1992-08-05";"366.68"
"1992-08-06";"367.99"
"1992-08-07";"367.68"
"1992-08-10";"366.09"
"1992-08-11";"366.28"
"1992-08-12";"367.07"
"1992-08-13";"367.00"
"1992-08-14";"367.41"
"1992-08-17";"367.35"
"1992-08-18";"367.63"
"1992-08-19";"367.81"
"1992-08-20";"368.00"
"1992-08-21";"369.79"
"1992-08-24";"372.44"
"1992-08-25";"371.75"
"1992-08-26";"372.43"
"1992-08-27";"374.35"
"1992-08-28";"374.36"
"1992-08-31";"374.40"
"1992-09-01";"374.80"
"1992-09-02";"375.97"
"1992-09-03";"377.08"
"1992-09-04";"375.62"
"1992-09-07";"376.33"
"1992-09-08";"376.49"
"1992-09-09";"376.46"
"1992-09-10";"375.51"
"1992-09-14";"374.50"
"1992-09-15";"375.45"
"1992-09-16";"374.27"
"1992-09-17";"374.10"
"1992-09-21";"376.01"
"1992-09-22";"376.50"
"1992-09-23";"377.13"
"1992-09-24";"377.27"
"1992-09-25";"377.27"
"1992-09-28";"377.39"
"1992-09-29";"376.65"
"1992-09-30";"375.92"
"1992-10-01";"375.31"
"1992-10-02";"374.86"
"1992-10-05";"374.51"
"1992-10-06";"374.23"
"1992-10-07";"373.83"
"1992-10-08";"371.50"
"1992-10-09";"370.40"
"1992-10-13";"371.12"
"1992-10-14";"371.25"
"1992-10-15";"371.84"
"1992-10-16";"371.17"
"1992-10-19";"372.04"
"1992-10-20";"372.65"
"1992-10-21";"374.28"
"1992-10-22";"375.33"
"1992-10-23";"372.75"
"1992-10-26";"373.46"
"1992-10-27";"373.97"
"1992-10-28";"373.91"
"1992-10-29";"373.34"
"1992-10-30";"373.38"
"1992-11-02";"373.99"
"1992-11-03";"372.72"
"1992-11-04";"374.12"
"1992-11-05";"374.16"
"1992-11-06";"375.13"
"1992-11-09";"376.00"
"1992-11-10";"376.83"
"1992-11-11";"376.35"
"1992-11-12";"376.54"
"1992-11-13";"376.74"
"1992-11-16";"377.40"
"1992-11-17";"378.57"
"1992-11-18";"379.51"
"1992-11-19";"379.03"
"1992-11-20";"378.94"
"1992-11-23";"379.45"
"1992-11-24";"380.67"
"1992-11-25";"381.20"
"1992-11-26";"380.84"
"1992-11-27";"380.78"
"1992-11-30";"381.30"
"1992-12-01";"381.70"
"1992-12-02";"381.34"
"1992-12-03";"380.84"
"1992-12-04";"380.84"
"1992-12-07";"381.31"
"1992-12-09";"381.57"
"1992-12-10";"381.37"
"1992-12-11";"380.57"
"1992-12-14";"379.41"
"1992-12-15";"377.33"
"1992-12-16";"377.45"
"1992-12-17";"377.39"
"1992-12-18";"378.20"
"1992-12-21";"379.87"
"1992-12-22";"379.59"
"1992-12-23";"380.04"
"1992-12-24";"380.36"
"1992-12-28";"380.89"
"1992-12-29";"381.95"
"1992-12-30";"382.33"
"1993-01-04";"382.12"
"1993-01-05";"383.57"
"1993-01-06";"383.64"
"1993-01-07";"383.32"
"1993-01-08";"383.59"
"1993-01-11";"384.83"
"1993-01-12";"384.08"
"1993-01-13";"383.64"
"1993-01-14";"384.74"
"1993-01-15";"384.35"
"1993-01-18";"384.24"
"1993-01-19";"383.91"
"1993-01-20";"383.56"
"1993-01-21";"382.97"
"1993-01-22";"383.66"
"1993-01-25";"384.04"
"1993-01-26";"383.38"
"1993-01-27";"383.93"
"1993-01-28";"386.12"
"1993-01-29";"384.82"
"1993-02-01";"384.37"
"1993-02-02";"385.02"
"1993-02-03";"385.82"
"1993-02-04";"387.00"
"1993-02-05";"388.00"
"1993-02-08";"388.89"
"1993-02-09";"388.43"
"1993-02-10";"388.48"
"1993-02-11";"387.53"
"1993-02-12";"387.73"
"1993-02-15";"387.36"
"1993-02-16";"387.67"
"1993-02-17";"387.65"
"1993-02-18";"387.75"
"1993-02-19";"388.39"
"1993-02-22";"388.35"
"1993-02-23";"388.86"
"1993-02-24";"389.90"
"1993-02-25";"390.17"
"1993-02-26";"390.84"
"1993-03-01";"391.31"
"1993-03-02";"391.32"
"1993-03-03";"391.28"
"1993-03-04";"392.28"
"1993-03-05";"394.25"
"1993-03-08";"395.59"
"1993-03-09";"398.77"
"1993-03-10";"399.37"
"1993-03-11";"397.46"
"1993-03-12";"395.47"
"1993-03-15";"396.76"
"1993-03-16";"397.87"
"1993-03-17";"398.67"
"1993-03-18";"399.41"
"1993-03-19";"398.64"
"1993-03-22";"398.61"
"1993-03-23";"399.05"
"1993-03-24";"399.54"
"1993-03-25";"399.67"
"1993-03-26";"399.62"
"1993-03-29";"399.81"
"1993-03-30";"400.20"
"1993-03-31";"401.06"
"1993-04-01";"401.88"
"1993-04-02";"401.88"
"1993-04-05";"401.93"
"1993-04-06";"401.41"
"1993-04-07";"401.36"
"1993-04-08";"400.33"
"1993-04-12";"399.97"
"1993-04-13";"399.37"
"1993-04-14";"397.96"
"1993-04-15";"398.97"
"1993-04-16";"399.69"
"1993-04-19";"399.56"
"1993-04-20";"400.16"
"1993-04-21";"400.09"
"1993-04-22";"400.90"
"1993-04-23";"401.76"
"1993-04-26";"403.02"
"1993-04-27";"403.16"
"1993-04-28";"403.33"
"1993-04-29";"403.79"
"1993-04-30";"404.50"
"1993-05-03";"405.15"
"1993-05-04";"404.75"
"1993-05-05";"404.43"
"1993-05-06";"405.08"
"1993-05-07";"404.94"
"1993-05-10";"405.14"
"1993-05-11";"405.31"
"1993-05-12";"404.92"
"1993-05-13";"404.25"
"1993-05-14";"404.37"
"1993-05-17";"405.41"
"1993-05-18";"405.65"
"1993-05-19";"404.78"
"1993-05-20";"404.62"
"1993-05-24";"405.36"
"1993-05-25";"405.26"
"1993-05-26";"404.93"
"1993-05-27";"404.89"
"1993-05-28";"405.10"
"1993-05-31";"405.27"
"1993-06-01";"405.28"
"1993-06-02";"405.25"
"1993-06-03";"405.14"
"1993-06-04";"405.01"
"1993-06-07";"404.75"
"1993-06-08";"404.07"
"1993-06-09";"403.32"
"1993-06-11";"402.19"
"1993-06-14";"400.39"
"1993-06-15";"399.81"
"1993-06-16";"401.67"
"1993-06-17";"402.98"
"1993-06-18";"403.76"
"1993-06-21";"404.33"
"1993-06-22";"404.41"
"1993-06-23";"402.60"
"1993-06-24";"402.92"
"1993-06-25";"401.61"
"1993-06-28";"402.52"
"1993-06-30";"404.02"
"1993-07-01";"404.65"
"1993-07-02";"404.29"
"1993-07-05";"405.39"
"1993-07-06";"405.50"
"1993-07-07";"405.45"
"1993-07-08";"404.97"
"1993-07-09";"404.56"
"1993-07-12";"405.60"
"1993-07-13";"406.06"
"1993-07-14";"405.65"
"1993-07-15";"404.38"
"1993-07-16";"404.20"
"1993-07-19";"405.13"
"1993-07-20";"404.70"
"1993-07-21";"404.30"
"1993-07-22";"404.21"
"1993-07-23";"404.02"
"1993-07-26";"404.45"
"1993-07-27";"404.42"
"1993-07-28";"404.53"
"1993-07-29";"404.94"
"1993-07-30";"404.07"
"1993-08-02";"405.65"
"1993-08-03";"406.07"
"1993-08-04";"406.41"
"1993-08-05";"407.20"
"1993-08-06";"407.41"
"1993-08-09";"407.80"
"1993-08-10";"407.62"
"1993-08-11";"407.18"
"1993-08-12";"406.61"
"1993-08-13";"406.83"
"1993-08-16";"407.64"
"1993-08-17";"407.50"
"1993-08-18";"407.22"
"1993-08-19";"407.75"
"1993-08-20";"407.88"
"1993-08-23";"408.75"
"1993-08-24";"408.95"
"1993-08-25";"408.75"
"1993-08-26";"408.51"
"1993-08-27";"408.67"
"1993-08-30";"408.89"
"1993-08-31";"409.20"
"1993-09-01";"408.66"
"1993-09-02";"408.54"
"1993-09-03";"408.06"
"1993-09-06";"408.21"
"1993-09-07";"407.49"
"1993-09-08";"407.02"
"1993-09-09";"407.28"
"1993-09-10";"406.70"
"1993-09-13";"407.20"
"1993-09-14";"406.79"
"1993-09-15";"406.98"
"1993-09-16";"406.93"
"1993-09-17";"406.74"
"1993-09-20";"407.41"
"1993-09-21";"408.68"
"1993-09-22";"409.78"
"1993-09-23";"410.06"
"1993-09-24";"408.73"
"1993-09-27";"409.26"
"1993-09-28";"409.71"
"1993-09-29";"409.87"
"1993-09-30";"410.13"
"1993-10-01";"410.83"
"1993-10-04";"411.51"
"1993-10-05";"412.58"
"1993-10-06";"413.30"
"1993-10-07";"413.48"
"1993-10-08";"413.14"
"1993-10-11";"413.56"
"1993-10-13";"413.19"
"1993-10-14";"413.16"
"1993-10-15";"412.62"
"1993-10-18";"412.73"
"1993-10-19";"411.97"
"1993-10-20";"411.91"
"1993-10-21";"412.69"
"1993-10-22";"413.15"
"1993-10-25";"413.22"
"1993-10-26";"412.41"
"1993-10-27";"412.30"
"1993-10-28";"412.16"
"1993-10-29";"411.86"
"1993-11-02";"412.44"
"1993-11-03";"411.94"
"1993-11-04";"411.87"
"1993-11-05";"411.42"
"1993-11-08";"411.58"
"1993-11-09";"411.14"
"1993-11-10";"410.80"
"1993-11-11";"410.65"
"1993-11-12";"410.14"
"1993-11-15";"411.40"
"1993-11-16";"411.81"
"1993-11-17";"410.53"
"1993-11-18";"410.75"
"1993-11-19";"411.06"
"1993-11-22";"413.42"
"1993-11-23";"412.91"
"1993-11-24";"412.91"
"1993-11-25";"414.09"
"1993-11-26";"414.93"
"1993-11-29";"416.43"
"1993-11-30";"420.33"
"1993-12-01";"419.33"
"1993-12-02";"419.56"
"1993-12-03";"421.28"
"1993-12-06";"423.89"
"1993-12-07";"426.22"
"1993-12-09";"429.15"
"1993-12-10";"425.77"
"1993-12-13";"422.71"
"1993-12-14";"423.66"
"1993-12-15";"426.15"
"1993-12-16";"426.49"
"1993-12-17";"425.66"
"1993-12-20";"425.83"
"1993-12-21";"425.54"
"1993-12-22";"425.92"
"1993-12-23";"427.13"
"1993-12-24";"427.87"
"1993-12-27";"428.68"
"1993-12-28";"428.64"
"1993-12-29";"429.90"
"1993-12-30";"431.04"
"1994-01-03";"428.47"
"1994-01-04";"429.10"
